"Pick","Team","Player","College","Season"
"9","NYK","Mike Sweetney","Georgetown University",2003
"10","WAS","Jarvis Hayes","University of Georgia",2003
"11","GSW","Mickael Pietrus","",2003
"12","SEA","Nick Collison","University of Kansas",2003
"13","MEM","Marcus Banks","University of Nevada, Las Vegas",2003
"14","SEA","Luke Ridnour","University of Oregon",2003
"15","ORL","Reece Gaines","University of Louisville",2003
"16","BOS","Troy Bell","Boston College",2003
"17","PHO","Zarko Cabarkapa","",2003
"18","NOH","David West","Xavier University",2003
"19","UTA","Sasha Pavlovic","",2003
"20","BOS","Dahntay Jones","Duke University",2003
"21","ATL","Boris Diaw","",2003
"22","NJN","Zoran Planinic","",2003
"23","POR","Travis Outlaw","",2003
"24","LAL","Brian Cook","University of Illinois at Urbana-Champaign",2003
"25","DET","Carlos Delfino","",2003
"26","MIN","Ndudi Ebi","",2003
"27","MEM","Kendrick Perkins","",2003
"28","SAS","Leandro Barbosa","",2003
"29","DAL","Josh Howard","Wake Forest University",2003
"30","NYK","Maciej Lampe","",2003
"31","CLE","Jason Kapono","University of California, Los Angeles",2003
"32","LAL","Luke Walton","University of Arizona",2003
"33","MIA","Jerome Beasley","University of North Dakota",2003
"34","LAC","Sofoklis Schortsanitis","",2003
"35","MIL","Szymon Szewczyk","",2003
"36","CHI","Mario Austin","Mississippi State University",2003
"37","ATL","Travis Hansen","Brigham Young University",2003
"38","WAS","Steve Blake","University of Maryland",2003
"39","NYK","Slavko Vranes","",2003
"40","GSW","Derrick Zimmerman","Mississippi State University",2003
"41","SEA","Willie Green","University of Detroit Mercy",2003
"42","ORL","Zaza Pachulia","",2003
"43","MIL","Keith Bogans","University of Kentucky",2003
"44","HOU","Malick Badiane","",2003
"45","CHI","Matt Bonner","University of Florida",2003
"46","DEN","Sani Becirovic","",2003
"47","UTA","Mo Williams","University of Alabama",2003
"48","NOH","James Lang","",2003
"49","IND","James Jones","University of Miami",2003
"50","PHI","Paccelis Morlende","",2003
"51","NJN","Kyle Korver","Creighton University",2003
"52","TOR","Remon Van de Hare","",2003
"53","CHI","Tommy Smith","Arizona State University",2003
"54","POR","Nedzad Sinanovic","",2003
"55","MIN","Rick Rickert","University of Minnesota",2003
"56","BOS","Brandon Hunter","Ohio University",2003
"57","DAL","Xue Yuyang","",2003
"58","DET","Andreas Glyniadakis","",2003
"1","ORL","Dwight Howard","",2004
"2","CHA","Emeka Okafor","University of Connecticut",2004
"3","CHI","Ben Gordon","University of Connecticut",2004
"4","LAC","Shaun Livingston","",2004
"5","WAS","Devin Harris","University of Wisconsin",2004
"6","ATL","Josh Childress","Stanford University",2004
"7","PHO","Luol Deng","Duke University",2004
"8","TOR","Rafael Araujo","Brigham Young University",2004
"9","PHI","Andre Iguodala","University of Arizona",2004
"10","CLE","Luke Jackson","University of Oregon",2004
"11","GSW","Andris Biedrins","",2004
"12","SEA","Robert Swift","",2004
"13","POR","Sebastian Telfair","",2004
"14","UTA","Kris Humphries","University of Minnesota",2004
"15","BOS","Al Jefferson","",2004
"16","UTA","Kirk Snyder","University of Nevada, Reno",2004
"17","ATL","Josh Smith","",2004
"18","NOH","J.R. Smith","",2004
"19","MIA","Dorell Wright","",2004
"20","DEN","Jameer Nelson","Saint Joseph's University",2004
"21","UTA","Pavel Podkolzin","",2004
"22","NJN","Viktor Khryapa","",2004
"23","POR","Sergei Monia","",2004
"24","BOS","Delonte West","Saint Joseph's University",2004
"25","BOS","Tony Allen","Oklahoma State University",2004
"26","SAC","Kevin Martin","Western Carolina University",2004
"27","LAL","Sasha Vujacic","",2004
"28","SAS","Beno Udrih","",2004
"29","IND","David Harrison","University of Colorado",2004
"30","ORL","Anderson Varejao","",2004
"31","CHI","Jackson Vroman","Iowa State University",2004
"32","WAS","Peter John Ramos","",2004
"33","LAC","Lionel Chalmers","Xavier University",2004
"34","ATL","Donta Smith","Southeastern Illinois College",2004
"35","SEA","Andre Emmett","Texas Tech University",2004
"36","ORL","Antonio Burks","University of Memphis",2004
"37","ATL","Royal Ivey","University of Texas at Austin",2004
"38","CHI","Chris Duhon","Duke University",2004
"39","TOR","Albert Miralles","",2004
"40","BOS","Justin Reed","University of Mississippi",2004
"41","SEA","David Young","North Carolina Central University",2004
"42","ATL","Viktor Sanikidze","",2004
"43","NYK","Trevor Ariza","University of California, Los Angeles",2004
"44","NOH","Tim Pickett","Florida State University",2004
"45","CHA","Bernard Robinson","University of Michigan",2004
"46","POR","Ha Seung-Jin","",2004
"47","MIA","Pape Sow","California State University, Fullerton",2004
"48","SAC","Ricky Minard","Morehead State University",2004
"49","MEM","Sergei Lishouk","",2004
"50","DAL","Vassilis Spanoulis","",2004
"51","NJN","Christian Drejer","University of Florida",2004
"52","SAS","Romain Sato","Xavier University",2004
"53","MIA","Matt Freije","Vanderbilt University",2004
"54","DET","Rickey Paulding","University of Missouri",2004
"55","HOU","Luis Flores","Manhattan College",2004
"56","LAL","Marcus Douthit","Providence College",2004
"57","SAS","Sergei Karaulov","",2004
"58","MIN","Blake Stepp","Gonzaga University",2004
"59","IND","Rashad Wright","University of Georgia",2004
"1","MIL","Andrew Bogut","University of Utah",2005
"2","ATL","Marvin Williams","University of North Carolina",2005
"3","UTA","Deron Williams","University of Illinois at Urbana-Champaign",2005
"4","NOH","Chris Paul","Wake Forest University",2005
"5","CHA","Raymond Felton","University of North Carolina",2005
"6","POR","Martell Webster","",2005
"7","TOR","Charlie Villanueva","University of Connecticut",2005
"8","NYK","Channing Frye","University of Arizona",2005
"9","GSW","Ike Diogu","Arizona State University",2005
"10","LAL","Andrew Bynum","",2005
"11","ORL","Fran Vazquez","",2005
"12","LAC","Yaroslav Korolev","",2005
"13","CHA","Sean May","University of North Carolina",2005
"14","MIN","Rashad McCants","University of North Carolina",2005
"15","NJN","Antoine Wright","Texas A&M University",2005
"16","TOR","Joey Graham","Oklahoma State University",2005
"17","IND","Danny Granger","University of New Mexico",2005
"18","BOS","Gerald Green","",2005
"19","MEM","Hakim Warrick","Syracuse University",2005
"20","DEN","Julius Hodge","North Carolina State University",2005
"21","PHO","Nate Robinson","University of Washington",2005
"22","DEN","Jarrett Jack","Georgia Institute of Technology",2005
"23","SAC","Francisco Garcia","University of Louisville",2005
"24","HOU","Luther Head","University of Illinois at Urbana-Champaign",2005
"25","SEA","Johan Petro","",2005
"26","DET","Jason Maxiell","University of Cincinnati",2005
"27","POR","Linas Kleiza","University of Missouri",2005
"28","SAS","Ian Mahinmi","",2005
"29","MIA","Wayne Simien","University of Kansas",2005
"30","NYK","David Lee","University of Florida",2005
"31","ATL","Salim Stoudamire","University of Arizona",2005
"32","LAC","Daniel Ewing","Duke University",2005
"33","NOH","Brandon Bass","Louisiana State University",2005
"34","UTA","C.J. Miles","",2005
"35","POR","Ricky Sanchez","",2005
"36","MIL","Ersan Ilyasova","",2005
"37","LAL","Ronny Turiaf","Gonzaga University",2005
"38","ORL","Travis Diener","Marquette University",2005
"39","LAL","Von Wafer","Florida State University",2005
"40","GSW","Monta Ellis","",2005
"41","TOR","Roko Ukic","",2005
"42","GSW","Chris Taft","University of Pittsburgh",2005
"43","NJN","Mile Ilic","",2005
"44","ORL","Martynas Andriuskevicius","",2005
"45","PHI","Louis Williams","",2005
"46","IND","Erazem Lorbek","",2005
"47","MIN","Bracey Wright","Indiana University",2005
"48","SEA","Mickael Gelabale","",2005
"49","WAS","Andray Blatche","",2005
"50","BOS","Ryan Gomes","Providence College",2005
"51","UTA","Robert Whaley","Walsh University",2005
"52","DEN","Axel Hervelle","",2005
"53","BOS","Orien Greene","University of Louisiana at Lafayette",2005
"54","NYK","Dijon Thompson","University of California, Los Angeles",2005
"55","SEA","Lawrence Roberts","Mississippi State University",2005
"56","DET","Amir Johnson","",2005
"57","PHO","Marcin Gortat","",2005
"58","TOR","Uros Slokar","",2005
"59","ATL","Cenk Akyol","",2005
"60","DET","Alex Acker","Pepperdine University",2005
"1","TOR","Andrea Bargnani","",2006
"2","CHI","LaMarcus Aldridge","University of Texas at Austin",2006
"3","CHA","Adam Morrison","Gonzaga University",2006
"4","POR","Tyrus Thomas","Louisiana State University",2006
"5","ATL","Shelden Williams","Duke University",2006
"6","MIN","Brandon Roy","University of Washington",2006
"7","BOS","Randy Foye","Villanova University",2006
"8","HOU","Rudy Gay","University of Connecticut",2006
"9","GSW","Patrick O'Bryant","Bradley University",2006
"10","SEA","Mouhamed Sene","",2006
"11","ORL","J.J. Redick","Duke University",2006
"12","NOK","Hilton Armstrong","University of Connecticut",2006
"13","PHI","Thabo Sefolosha","",2006
"14","UTA","Ronnie Brewer","University of Arkansas",2006
"15","NOK","Cedric Simmons","North Carolina State University",2006
"16","CHI","Rodney Carney","University of Memphis",2006
"17","IND","Shawne Williams","University of Memphis",2006
"18","WAS","Oleksiy Pecherov","",2006
"19","SAC","Quincy Douby","Rutgers University",2006
"20","NYK","Renaldo Balkman","University of South Carolina",2006
"21","PHO","Rajon Rondo","University of Kentucky",2006
"22","NJN","Marcus Williams","University of Connecticut",2006
"23","NJN","Josh Boone","University of Connecticut",2006
"24","MEM","Kyle Lowry","Villanova University",2006
"25","CLE","Shannon Brown","Michigan State University",2006
"26","LAL","Jordan Farmar","University of California, Los Angeles",2006
"27","PHO","Sergio Rodriguez","",2006
"28","DAL","Maurice Ager","Michigan State University",2006
"29","NYK","Mardy Collins","Temple University",2006
"30","POR","Joel Freeland","",2006
"31","POR","James White","University of Cincinnati",2006
"32","HOU","Steve Novak","Marquette University",2006
"33","ATL","Solomon Jones","University of South Florida",2006
"34","LAC","Paul Davis","Michigan State University",2006
"35","TOR","P.J. Tucker","University of Texas at Austin",2006
"36","MIN","Craig Smith","Boston College",2006
"37","MIN","Bobby Jones","University of Washington",2006
"38","GSW","Kosta Perovic","",2006
"39","MIL","David Noel","University of North Carolina",2006
"40","SEA","Denham Brown","University of Connecticut",2006
"41","ORL","James Augustine","University of Illinois at Urbana-Champaign",2006
"42","CLE","Daniel Gibson","University of Texas at Austin",2006
"43","NOK","Marcus Vinicius","",2006
"44","ORL","Lior Eliyahu","",2006
"45","IND","Alexander Johnson","Florida State University",2006
"46","UTA","Dee Brown","University of Illinois at Urbana-Champaign",2006
"47","UTA","Paul Millsap","Louisiana Tech University",2006
"48","WAS","Vladimir Veremeenko","",2006
"49","DEN","Leon Powe","University of California",2006
"50","CHA","Ryan Hollins","University of California, Los Angeles",2006
"51","LAL","Cheikh Samb","",2006
"52","LAC","Guillermo Diaz","University of Miami",2006
"53","SEA","Yotam Halperin","",2006
"54","NJN","Hassan Adams","University of Arizona",2006
"55","CLE","Ejike Ugboaja","",2006
"56","TOR","Edin Bavcic","",2006
"57","MIN","Loukas Mavrokefalidis","",2006
"58","DAL","J.R. Pinnock","George Washington University",2006
"59","SAS","Damir Markota","",2006
"60","DET","Will Blalock","Iowa State University",2006
"1","POR","Greg Oden","Ohio State University",2007
"2","SEA","Kevin Durant","University of Texas at Austin",2007
"3","ATL","Al Horford","University of Florida",2007
"4","MEM","Mike Conley","Ohio State University",2007
"5","BOS","Jeff Green","Georgetown University",2007
"6","MIL","Yi Jianlian","",2007
"7","MIN","Corey Brewer","University of Florida",2007
"8","CHA","Brandan Wright","University of North Carolina",2007
"9","CHI","Joakim Noah","University of Florida",2007
"10","SAC","Spencer Hawes","University of Washington",2007
"11","ATL","Acie Law","Texas A&M University",2007
"12","PHI","Thaddeus Young","Georgia Institute of Technology",2007
"13","NOK","Julian Wright","University of Kansas",2007
"14","LAC","Al Thornton","Florida State University",2007
"15","DET","Rodney Stuckey","Eastern Washington University",2007
"16","WAS","Nick Young","University of Southern California",2007
"17","NJN","Sean Williams","Boston College",2007
"18","GSW","Marco Belinelli","",2007
"19","LAL","Javaris Crittenton","Georgia Institute of Technology",2007
"20","MIA","Jason Smith","Colorado State University",2007
"21","PHI","Daequan Cook","Ohio State University",2007
"22","CHA","Jared Dudley","Boston College",2007
"23","NYK","Wilson Chandler","DePaul University",2007
"24","PHO","Rudy Fernandez","",2007
"25","UTA","Morris Almond","Rice University",2007
"26","HOU","Aaron Brooks","University of Oregon",2007
"27","DET","Arron Afflalo","University of California, Los Angeles",2007
"28","SAS","Tiago Splitter","",2007
"29","PHO","Alando Tucker","University of Wisconsin",2007
"30","PHI","Petteri Koponen","",2007
"31","SEA","Carl Landry","Purdue University",2007
"32","BOS","Gabe Pruitt","University of Southern California",2007
"33","SAS","Marcus Williams","University of Arizona",2007
"34","DAL","Nick Fazekas","University of Nevada, Reno",2007
"35","SEA","Glen Davis","Louisiana State University",2007
"36","GSW","Jermareo Davidson","University of Alabama",2007
"37","POR","Josh McRoberts","Duke University",2007
"38","PHI","Kyrylo Fesenko","",2007
"39","MIA","Stanko Barac","",2007
"40","LAL","Sun Yue","",2007
"41","MIN","Chris Richard","University of Florida",2007
"42","POR","Derrick Byars","Vanderbilt University",2007
"43","NOK","Adam Haluska","University of Iowa",2007
"44","ORL","Reyshawn Terry","University of North Carolina",2007
"45","LAC","Jared Jordan","Marist College",2007
"46","GSW","Stephane Lasme","University of Massachusetts Amherst",2007
"47","WAS","Dominic McGuire","California State University, Fresno",2007
"48","LAL","Marc Gasol","",2007
"49","CHI","Aaron Gray","University of Pittsburgh",2007
"50","DAL","Renaldas Seibutis","",2007
"51","CHI","JamesOn Curry","Oklahoma State University",2007
"52","POR","Taurean Green","University of Florida",2007
"53","POR","Demetris Nichols","Syracuse University",2007
"54","HOU","Brad Newley","",2007
"55","UTA","Herbert Hill","Providence College",2007
"56","MIL","Ramon Sessions","University of Nevada, Reno",2007
"57","DET","Sammy Mejia","DePaul University",2007
"58","SAS","Giorgos Printezis","",2007
"59","PHO","D.J. Strawberry","University of Maryland",2007
"60","DAL","Milovan Rakovic","",2007
"1","CHI","Derrick Rose","University of Memphis",2008
"2","MIA","Michael Beasley","Kansas State University",2008
"3","MIN","O.J. Mayo","University of Southern California",2008
"4","SEA","Russell Westbrook","University of California, Los Angeles",2008
"5","MEM","Kevin Love","University of California, Los Angeles",2008
"6","NYK","Danilo Gallinari","",2008
"7","LAC","Eric Gordon","Indiana University",2008
"8","MIL","Joe Alexander","West Virginia University",2008
"9","CHA","D.J. Augustin","University of Texas at Austin",2008
"10","NJN","Brook Lopez","Stanford University",2008
"11","IND","Jerryd Bayless","University of Arizona",2008
"12","SAC","Jason Thompson","Rider University",2008
"13","POR","Brandon Rush","University of Kansas",2008
"14","GSW","Anthony Randolph","Louisiana State University",2008
"15","PHO","Robin Lopez","Stanford University",2008
"16","PHI","Marreese Speights","University of Florida",2008
"17","TOR","Roy Hibbert","Georgetown University",2008
"18","WAS","JaVale McGee","University of Nevada, Reno",2008
"19","CLE","J.J. Hickson","North Carolina State University",2008
"20","CHA","Alexis Ajinca","",2008
"21","NJN","Ryan Anderson","University of California",2008
"22","ORL","Courtney Lee","Western Kentucky University",2008
"23","UTA","Kosta Koufos","Ohio State University",2008
"24","SEA","Serge Ibaka","",2008
"25","HOU","Nicolas Batum","",2008
"26","SAS","George Hill","Indiana University-Purdue University Indianapolis",2008
"27","NOH","Darrell Arthur","University of Kansas",2008
"28","MEM","Donte Greene","Syracuse University",2008
"29","DET","D.J. White","Indiana University",2008
"30","BOS","J.R. Giddens","University of New Mexico",2008
"31","MIN","Nikola Pekovic","",2008
"32","SEA","Walter Sharpe","University of Alabama at Birmingham",2008
"33","POR","Joey Dorsey","University of Memphis",2008
"34","MIN","Mario Chalmers","University of Kansas",2008
"35","LAC","DeAndre Jordan","Texas A&M University",2008
"36","POR","Omer Asik","",2008
"37","MIL","Luc Mbah a Moute","University of California, Los Angeles",2008
"38","CHA","Kyle Weaver","Washington State University",2008
"39","CHI","Sonny Weems","University of Arkansas",2008
"40","NJN","Chris Douglas-Roberts","University of Memphis",2008
"41","IND","Nathan Jawai","",2008
"42","SAC","Sean Singletary","University of Virginia",2008
"43","SAC","Patrick Ewing","Georgetown University",2008
"44","UTA","Ante Tomic","",2008
"45","SAS","Goran Dragic","",2008
"46","SEA","Trent Plaisted","Brigham Young University Hawaii",2008
"47","WAS","Bill Walker","Kansas State University",2008
"48","PHO","Malik Hairston","University of Oregon",2008
"49","GSW","Richard Hendrix","University of Alabama",2008
"50","SEA","DeVon Hardin","University of California",2008
"51","DAL","Shan Foster","Vanderbilt University",2008
"52","MIA","Darnell Jackson","University of Kansas",2008
"53","UTA","Tadija Dragicevic","",2008
"54","HOU","Maarty Leunen","University of Oregon",2008
"55","POR","Mike Taylor","Iowa State University",2008
"56","SEA","Sasha Kaun","University of Kansas",2008
"57","SAS","James Gist","University of Maryland",2008
"58","LAL","Joe Crawford","University of Kentucky",2008
"59","DET","Deron Washington","Virginia Polytechnic Institute and State University",2008
"60","BOS","Semih Erden","",2008
"1","LAC","Blake Griffin","University of Oklahoma",2009
"2","MEM","Hasheem Thabeet","University of Connecticut",2009
"3","OKC","James Harden","Arizona State University",2009
"4","SAC","Tyreke Evans","University of Memphis",2009
"5","MIN","Ricky Rubio","",2009
"6","MIN","Jonny Flynn","Syracuse University",2009
"7","GSW","Stephen Curry","Davidson College",2009
"8","NYK","Jordan Hill","University of Arizona",2009
"9","TOR","DeMar DeRozan","University of Southern California",2009
"10","MIL","Brandon Jennings","",2009
"11","NJN","Terrence Williams","University of Louisville",2009
"12","CHA","Gerald Henderson","Duke University",2009
"13","IND","Tyler Hansbrough","University of North Carolina",2009
"14","PHO","Earl Clark","University of Louisville",2009
"15","DET","Austin Daye","Gonzaga University",2009
"16","CHI","James Johnson","Wake Forest University",2009
"17","PHI","Jrue Holiday","University of California, Los Angeles",2009
"18","MIN","Ty Lawson","University of North Carolina",2009
"19","ATL","Jeff Teague","Wake Forest University",2009
"20","UTA","Eric Maynor","Virginia Commonwealth University",2009
"21","NOH","Darren Collison","University of California, Los Angeles",2009
"22","POR","Victor Claver","",2009
"23","SAC","Omri Casspi","",2009
"24","DAL","Byron Mullens","Ohio State University",2009
"25","OKC","Rodrigue Beaubois","",2009
"26","CHI","Taj Gibson","University of Southern California",2009
"27","MEM","DeMarre Carroll","University of Missouri",2009
"28","MIN","Wayne Ellington","University of North Carolina",2009
"29","LAL","Toney Douglas","Florida State University",2009
"30","CLE","Christian Eyenga","",2009
"31","SAC","Jeff Pendergraph","Arizona State University",2009
"32","WAS","Jermaine Taylor","University of Central Florida",2009
"33","POR","Dante Cunningham","Villanova University",2009
"34","DEN","Sergio Llull","",2009
"35","DET","DaJuan Summers","Georgetown University",2009
"36","MEM","Sam Young","University of Pittsburgh",2009
"37","SAS","DeJuan Blair","University of Pittsburgh",2009
"38","POR","Jon Brockman","University of Washington",2009
"39","DET","Jonas Jerebko","",2009
"40","CHA","Derrick Brown","Xavier University",2009
"41","MIL","Jodie Meeks","University of Kentucky",2009
"42","LAL","Patrick Beverley","University of Arkansas",2009
"43","MIA","Marcus Thornton","Louisiana State University",2009
"44","DET","Chase Budinger","University of Arizona",2009
"45","MIN","Nick Calathes","University of Florida",2009
"46","CLE","Danny Green","University of North Carolina",2009
"47","MIN","Henk Norel","",2009
"48","PHO","Taylor Griffin","University of Oklahoma",2009
"49","ATL","Sergiy Gladyr","",2009
"50","UTA","Goran Suton","Michigan State University",2009
"51","SAS","Jack McClinton","University of Miami",2009
"52","IND","A.J. Price","University of Connecticut",2009
"53","SAS","Nando De Colo","",2009
"54","CHA","Robert Vaden","University of Alabama at Birmingham",2009
"55","POR","Patrick Mills","Saint Mary's College of California",2009
"56","DAL","Ahmad Nivins","Saint Joseph's University",2009
"57","PHO","Emir Preldzic","",2009
"58","BOS","Lester Hudson","University of Tennessee at Martin",2009
"59","LAL","Chinemelu Elonu","Texas A&M University",2009
"60","MIA","Robert Dozier","University of Memphis",2009
"1","WAS","John Wall","University of Kentucky",2010
"2","PHI","Evan Turner","Ohio State University",2010
"3","NJN","Derrick Favors","Georgia Institute of Technology",2010
"4","MIN","Wesley Johnson","Syracuse University",2010
"5","SAC","DeMarcus Cousins","University of Kentucky",2010
"6","GSW","Ekpe Udoh","Baylor University",2010
"7","DET","Greg Monroe","Georgetown University",2010
"8","LAC","Al-Farouq Aminu","Wake Forest University",2010
"9","UTA","Gordon Hayward","Butler University",2010
"10","IND","Paul George","California State University, Fresno",2010
"11","NOH","Cole Aldrich","University of Kansas",2010
"12","MEM","Xavier Henry","University of Kansas",2010
"13","TOR","Ed Davis","University of North Carolina",2010
"14","HOU","Patrick Patterson","University of Kentucky",2010
"15","MIL","Larry Sanders","Virginia Commonwealth University",2010
"16","MIN","Luke Babbitt","University of Nevada, Reno",2010
"17","CHI","Kevin Seraphin","",2010
"18","OKC","Eric Bledsoe","University of Kentucky",2010
"19","BOS","Avery Bradley","University of Texas at Austin",2010
"20","SAS","James Anderson","Oklahoma State University",2010
"21","OKC","Craig Brackins","Iowa State University",2010
"22","POR","Elliot Williams","University of Memphis",2010
"23","MIN","Trevor Booker","Clemson University",2010
"24","ATL","Damion James","University of Texas at Austin",2010
"25","MEM","Dominique Jones","University of South Florida",2010
"26","OKC","Quincy Pondexter","University of Washington",2010
"27","NJN","Jordan Crawford","Xavier University",2010
"28","MEM","Greivis Vasquez","University of Maryland",2010
"29","ORL","Daniel Orton","University of Kentucky",2010
"30","WAS","Lazar Hayward","Marquette University",2010
"31","NJN","Tibor Pleiss","",2010
"32","MIA","Dexter Pittman","University of Texas at Austin",2010
"33","SAC","Hassan Whiteside","Marshall University",2010
"34","POR","Armon Johnson","University of Nevada, Reno",2010
"35","WAS","Nemanja Bjelica","",2010
"36","DET","Terrico White","University of Mississippi",2010
"37","MIL","Darington Hobson","University of New Mexico",2010
"38","NYK","Andy Rautins","Syracuse University",2010
"39","NYK","Landry Fields","Stanford University",2010
"40","IND","Lance Stephenson","University of Cincinnati",2010
"41","MIA","Jarvis Varnado","Mississippi State University",2010
"42","MIA","Da'Sean Butler","West Virginia University",2010
"43","LAL","Devin Ebanks","West Virginia University",2010
"44","MIL","Jerome Jordan","University of Tulsa",2010
"45","MIN","Paulao Prestes","",2010
"46","PHO","Gani Lawal","Georgia Institute of Technology",2010
"47","MIL","Tiny Gallon","University of Oklahoma",2010
"48","MIA","Latavious Williams","",2010
"49","SAS","Ryan Richards","",2010
"50","DAL","Solomon Alabi","Florida State University",2010
"51","OKC","Magnum Rolle","Louisiana Tech University",2010
"52","BOS","Luke Harangody","University of Notre Dame",2010
"53","ATL","Pape Sy","",2010
"54","LAC","Willie Warren","University of Oklahoma",2010
"55","UTA","Jeremy Evans","Western Kentucky University",2010
"56","MIN","Hamady N'Diaye","Rutgers University",2010
"57","IND","Ryan Reid","Florida State University",2010
"58","LAL","Derrick Caracter","University of Texas at El Paso",2010
"59","ORL","Stanley Robinson","University of Connecticut",2010
"60","PHO","Dwayne Collins","University of Miami",2010
"1","CLE","Kyrie Irving","Duke University",2011
"2","MIN","Derrick Williams","University of Arizona",2011
"3","UTA","Enes Kanter","",2011
"4","CLE","Tristan Thompson","University of Texas at Austin",2011
"5","TOR","Jonas Valanciunas","",2011
"6","WAS","Jan Vesely","",2011
"7","SAC","Bismack Biyombo","",2011
"8","DET","Brandon Knight","University of Kentucky",2011
"9","CHA","Kemba Walker","University of Connecticut",2011
"10","MIL","Jimmer Fredette","Brigham Young University",2011
"11","GSW","Klay Thompson","Washington State University",2011
"12","UTA","Alec Burks","University of Colorado",2011
"13","PHO","Markieff Morris","University of Kansas",2011
"14","HOU","Marcus Morris","University of Kansas",2011
"15","IND","Kawhi Leonard","San Diego State University",2011
"16","PHI","Nikola Vucevic","University of Southern California",2011
"17","NYK","Iman Shumpert","Georgia Institute of Technology",2011
"18","WAS","Chris Singleton","Florida State University",2011
"19","CHA","Tobias Harris","University of Tennessee",2011
"20","MIN","Donatas Motiejunas","",2011
"21","POR","Nolan Smith","Duke University",2011
"22","DEN","Kenneth Faried","Morehead State University",2011
"23","HOU","Nikola Mirotic","",2011
"24","OKC","Reggie Jackson","Boston College",2011
"25","BOS","MarShon Brooks","Providence College",2011
"26","DAL","Jordan Hamilton","University of Texas at Austin",2011
"27","NJN","JaJuan Johnson","Purdue University",2011
"28","CHI","Norris Cole","Cleveland State University",2011
"29","SAS","Cory Joseph","University of Texas at Austin",2011
"30","CHI","Jimmy Butler","Marquette University",2011
"31","MIA","Bojan Bogdanovic","",2011
"32","CLE","Justin Harper","University of Richmond",2011
"33","DET","Kyle Singler","Duke University",2011
"34","WAS","Shelvin Mack","Butler University",2011
"35","SAC","Tyler Honeycutt","University of California, Los Angeles",2011
"36","NJN","Jordan Williams","University of Maryland",2011
"37","LAC","Trey Thompkins","University of Georgia",2011
"38","HOU","Chandler Parsons","University of Florida",2011
"39","CHA","Jeremy Tyler","",2011
"40","MIL","Jon Leuer","University of Wisconsin",2011
"41","LAL","Darius Morris","University of Michigan",2011
"42","IND","Davis Bertans","",2011
"43","CHI","Malcolm Lee","University of California, Los Angeles",2011
"44","GSW","Charles Jenkins","Hofstra University",2011
"45","NOH","Josh Harrellson","University of Kentucky",2011
"46","LAL","Andrew Goudelock","College of Charleston",2011
"47","LAC","Travis Leslie","University of Georgia",2011
"48","ATL","Keith Benson","Oakland University",2011
"49","MEM","Josh Selby","University of Kansas",2011
"50","PHI","Lavoy Allen","Temple University",2011
"51","POR","Jon Diebler","Ohio State University",2011
"52","DET","Vernon Macklin","University of Florida",2011
"53","ORL","DeAndre Liggins","University of Kentucky",2011
"54","CLE","Milan Macvan","",2011
"55","BOS","E'Twaun Moore","Purdue University",2011
"56","LAL","Chukwudiebere Maduabum","",2011
"57","DAL","Targuy Ngombo","",2011
"58","LAL","Ater Majok","",2011
"59","SAS","Adam Hanga","",2011
"60","SAC","Isaiah Thomas","University of Washington",2011
"1","NOH","Anthony Davis","University of Kentucky",2012
"2","CHA","Michael Kidd-Gilchrist","University of Kentucky",2012
"3","WAS","Bradley Beal","University of Florida",2012
"4","CLE","Dion Waiters","Syracuse University",2012
"5","SAC","Thomas Robinson","University of Kansas",2012
"6","POR","Damian Lillard","Weber State University",2012
"7","GSW","Harrison Barnes","University of North Carolina",2012
"8","TOR","Terrence Ross","University of Washington",2012
"9","DET","Andre Drummond","University of Connecticut",2012
"10","NOH","Austin Rivers","Duke University",2012
"11","POR","Meyers Leonard","University of Illinois at Urbana-Champaign",2012
"12","HOU","Jeremy Lamb","University of Connecticut",2012
"13","PHO","Kendall Marshall","University of North Carolina",2012
"14","MIL","John Henson","University of North Carolina",2012
"15","PHI","Maurice Harkless","St. John's University",2012
"16","HOU","Royce White","Iowa State University",2012
"17","DAL","Tyler Zeller","University of North Carolina",2012
"18","HOU","Terrence Jones","University of Kentucky",2012
"19","ORL","Andrew Nicholson","St. Bonaventure University",2012
"20","DEN","Evan Fournier","",2012
"21","BOS","Jared Sullinger","Ohio State University",2012
"22","BOS","Fab Melo","Syracuse University",2012
"23","ATL","John Jenkins","Vanderbilt University",2012
"24","CLE","Jared Cunningham","Oregon State University",2012
"25","MEM","Tony Wroten","University of Washington",2012
"26","IND","Miles Plumlee","Duke University",2012
"27","MIA","Arnett Moultrie","Mississippi State University",2012
"28","OKC","Perry Jones","Baylor University",2012
"29","CHI","Marquis Teague","University of Kentucky",2012
"30","GSW","Festus Ezeli","Vanderbilt University",2012
"31","CHA","Jeff Taylor","Vanderbilt University",2012
"32","WAS","Tomas Satoransky","",2012
"33","CLE","Bernard James","Florida State University",2012
"34","CLE","Jae Crowder","Marquette University",2012
"35","GSW","Draymond Green","Michigan State University",2012
"36","SAC","Orlando Johnson","University of California, Santa Barbara",2012
"37","TOR","Quincy Acy","Baylor University",2012
"38","DEN","Quincy Miller","Baylor University",2012
"39","DET","Khris Middleton","Texas A&M University",2012
"40","POR","Will Barton","University of Memphis",2012
"41","POR","Tyshawn Taylor","University of Kansas",2012
"42","MIL","Doron Lamb","University of Kentucky",2012
